% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_dnn_traffic.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table traffics_dnn_6base/resnet50_bottleneck3_xb128_6x6x3_base.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=3240, SIM=259200, 6.7 block passes measured)
% LOAD_SCALE=0.026  CYCLES_PER_MAC=0.0002  t_period=38536
% phases:  conv1=[0,5138)  conv2=[5138,28259)  conv3=[28259,38535)  shortcut=[0,38535)
% src dst pir por t_on t_off t_period
   32    24 0.0079361495 0.0079361495        0     5138    38536
   32    33 0.0019840374 0.0019840374        0     5138    38536
   32    54 0.0002644937 0.0002644937        0    38535    38536
   32    55 0.0002644937 0.0002644937        0    38535    38536
   32    56 0.0002644937 0.0002644937        0    38535    38536
   32    57 0.0002644937 0.0002644937        0    38535    38536
   33    25 0.0079361495 0.0079361495        0     5138    38536
   34    52 0.0017633218 0.0017633218     5138    28259    38536
   35    58 0.0017633218 0.0017633218     5138    28259    38536
   36    73 0.0002644937 0.0002644937        0    38535    38536
   37    75 0.0002644937 0.0002644937        0    38535    38536
   38    79 0.0002644937 0.0002644937        0    38535    38536
   39    81 0.0002644937 0.0002644937        0    38535    38536
   58    84 0.0004408304 0.0004408304     5138    28259    38536
   58    85 0.0004408304 0.0004408304     5138    28259    38536
   58    86 0.0004408304 0.0004408304     5138    28259    38536
   58    87 0.0004408304 0.0004408304     5138    28259    38536
   58    90 0.0004408304 0.0004408304     5138    28259    38536
   58    91 0.0004408304 0.0004408304     5138    28259    38536
   58    92 0.0004408304 0.0004408304     5138    28259    38536
   58    93 0.0004408304 0.0004408304     5138    28259    38536
   41    52 0.0017633218 0.0017633218     5138    28259    38536
   42    36 0.0010579748 0.0010579748        0    38535    38536
   43    37 0.0010579748 0.0010579748        0    38535    38536
   44    38 0.0010579748 0.0010579748        0    38535    38536
   45    39 0.0010579748 0.0010579748        0    38535    38536
   46    58 0.0017633218 0.0017633218     5138    28259    38536
   47    52 0.0017633218 0.0017633218     5138    28259    38536
   48    36 0.0010579748 0.0010579748        0    38535    38536
   49    37 0.0010579748 0.0010579748        0    38535    38536
   50    38 0.0010579748 0.0010579748        0    38535    38536
   51    39 0.0010579748 0.0010579748        0    38535    38536
    4    58 0.0017633218 0.0017633218     5138    28259    38536
   53    52 0.0017633218 0.0017633218     5138    28259    38536
   54    36 0.0010579748 0.0010579748        0    38535    38536
   55    37 0.0010579748 0.0010579748        0    38535    38536
   56    38 0.0010579748 0.0010579748        0    38535    38536
   57    39 0.0010579748 0.0010579748        0    38535    38536
   40    58 0.0017633218 0.0017633218     5138    28259    38536
   59    52 0.0017633218 0.0017633218     5138    28259    38536
   64    58 0.0017633218 0.0017633218     5138    28259    38536
   65    52 0.0017633218 0.0017633218     5138    28259    38536
   70    58 0.0017633218 0.0017633218     5138    28259    38536
   71    52 0.0017633218 0.0017633218     5138    28259    38536
   76    52 0.0017633218 0.0017633218     5138    28259    38536
   77    58 0.0017633218 0.0017633218     5138    28259    38536
   82    52 0.0017633218 0.0017633218     5138    28259    38536
   83    58 0.0017633218 0.0017633218     5138    28259    38536
   84    72 0.0039676886 0.0039676886    28259    38535    38536
   85    73 0.0039676886 0.0039676886    28259    38535    38536
   86    74 0.0039676886 0.0039676886    28259    38535    38536
   87    75 0.0039676886 0.0039676886    28259    38535    38536
   88    52 0.0017633218 0.0017633218     5138    28259    38536
   89    58 0.0017633218 0.0017633218     5138    28259    38536
   90    78 0.0039676886 0.0039676886    28259    38535    38536
   91    79 0.0039676886 0.0039676886    28259    38535    38536
   92    80 0.0039676886 0.0039676886    28259    38535    38536
   93    81 0.0039676886 0.0039676886    28259    38535    38536
   94    52 0.0017633218 0.0017633218     5138    28259    38536
   95    58 0.0017633218 0.0017633218     5138    28259    38536
  100    52 0.0017633218 0.0017633218     5138    28259    38536
  101    58 0.0017633218 0.0017633218     5138    28259    38536
  106    52 0.0017633218 0.0017633218     5138    28259    38536
  107    58 0.0017633218 0.0017633218     5138    28259    38536
